,Temp,Lluvia,Rad_max
11/10/2025 10:00,27.58,0.0,0.33
11/10/2025 10:30,27.62,0.0,0.2
11/10/2025 11:00,27.66,0.0,0.06
11/10/2025 11:30,28.38,0.0,0.32
11/10/2025 12:00,29.09,0.0,0.57
11/10/2025 12:30,28.86,0.0,0.33
11/10/2025 13:00,28.62,0.0,0.1
11/10/2025 13:30,28.88,0.0,0.1
11/10/2025 14:00,29.14,0.0,0.1
11/10/2025 14:30,28.85,0.0,0.07
11/10/2025 15:00,28.56,0.0,0.04
11/10/2025 15:30,28.09,0.0,0.02
11/10/2025 16:00,27.63,0.0,0.0
11/10/2025 16:30,26.84,0.0,0.0
11/10/2025 17:00,26.04,0.0,0.0
11/10/2025 17:30,25.56,0.0,0.0
11/10/2025 18:00,25.09,0.0,0.0
11/10/2025 18:30,25.07,0.0,0.0
11/10/2025 19:00,25.06,0.0,0.0
11/10/2025 19:30,24.87,0.0,0.0
11/10/2025 20:00,24.68,0.0,0.0
11/10/2025 20:30,24.75,0.0,0.0
11/10/2025 21:00,24.83,0.0,0.0
11/10/2025 21:30,24.8,0.0,0.0
11/10/2025 22:00,24.78,0.0,0.0
11/10/2025 22:30,24.52,0.0,0.0
11/10/2025 23:00,24.26,0.0,0.0
11/10/2025 23:30,24.18,0.0,0.0
12/10/2025 00:00,24.09,0.0,0.0
12/10/2025 00:30,24.49,0.0,0.0
12/10/2025 01:00,24.89,0.0,0.0
12/10/2025 01:30,25.16,0.0,0.0
12/10/2025 02:00,25.43,0.0,0.0
12/10/2025 02:30,25.43,0.0,0.0
12/10/2025 03:00,25.42,0.0,0.0
12/10/2025 03:30,24.87,0.0,0.0
12/10/2025 04:00,24.31,0.0,0.0
12/10/2025 04:30,24.05,0.0,0.0
12/10/2025 05:00,23.78,0.0,0.0
12/10/2025 05:30,24.05,0.0,0.0
12/10/2025 06:00,24.31,0.0,0.0
12/10/2025 06:30,24.12,0.5,0.0
12/10/2025 07:00,23.93,1.0,0.0
12/10/2025 07:30,23.77,1.7,0.14
12/10/2025 08:00,23.61,2.4,0.27
12/10/2025 08:30,25.16,1.3,0.38
12/10/2025 09:00,26.71,0.2,0.48
12/10/2025 09:30,27.34,0.1,0.43
12/10/2025 10:00,27.96,0.0,0.39
12/10/2025 10:30,27.9,0.1,0.52
12/10/2025 11:00,27.84,0.2,0.65
12/10/2025 11:30,27.98,0.0,0.25
12/10/2025 12:00,29.17,0.0,0.56
12/10/2025 12:30,28.61,0.0,0.33
12/10/2025 13:00,28.5,0.0,0.08
12/10/2025 13:30,29.37,0.0,0.1
12/10/2025 14:00,29.21,0.0,0.08
12/10/2025 14:30,28.75,0.0,0.05
12/10/2025 15:00,28.92,0.0,0.04
12/10/2025 15:30,28.42,0.0,0.02
12/10/2025 16:00,28.09,0.0,0.0
12/10/2025 16:30,26.73,0.0,0.0
12/10/2025 17:00,25.21,0.0,0.0
12/10/2025 17:30,25.95,0.0,0.0
12/10/2025 18:00,25.02,0.0,0.0
12/10/2025 18:30,25.69,0.0,0.0
12/10/2025 19:00,24.86,0.0,0.0
12/10/2025 19:30,25.84,0.0,0.0
12/10/2025 20:00,24.75,0.0,0.0
12/10/2025 20:30,24.62,0.0,0.0
12/10/2025 21:00,24.3,0.0,0.0
12/10/2025 21:30,24.66,0.0,0.0
12/10/2025 22:00,24.67,0.0,0.0
12/10/2025 22:30,24.78,0.0,0.0
12/10/2025 23:00,24.41,0.0,0.0
12/10/2025 23:30,24.41,0.0,0.0
13/10/2025 00:00,24.86,0.0,0.0
13/10/2025 00:30,24.62,0.0,0.0
13/10/2025 01:00,24.74,0.0,0.0
13/10/2025 01:30,25.17,0.0,0.0
13/10/2025 02:00,25.14,0.0,0.0
13/10/2025 02:30,25.5,0.0,0.0
13/10/2025 03:00,25.72,0.0,0.0
13/10/2025 03:30,24.49,0.0,0.0
13/10/2025 04:00,24.76,0.0,0.0
13/10/2025 04:30,24.83,0.0,0.0
13/10/2025 05:00,23.79,0.0,0.0
13/10/2025 05:30,25.08,0.0,0.0
13/10/2025 06:00,24.99,0.0,0.0
13/10/2025 06:30,23.16,1.67,0.0
13/10/2025 07:00,23.81,0.0,0.0
13/10/2025 07:30,23.76,1.49,0.05
13/10/2025 08:00,23.63,1.05,0.11
13/10/2025 08:30,26.1,0.68,0.17
13/10/2025 09:00,26.57,0.0,0.34
13/10/2025 09:30,27.52,1.73,0.21
13/10/2025 10:00,27.84,1.21,0.18
13/10/2025 10:30,27.65,1.6,0.06
13/10/2025 11:00,28.53,0.0,0.28
13/10/2025 11:30,28.58,0.0,0.28
13/10/2025 12:00,29.44,0.0,0.59
13/10/2025 12:30,28.99,0.0,0.26
13/10/2025 13:00,28.8,0.0,0.1
13/10/2025 13:30,28.74,0.0,0.08
13/10/2025 14:00,29.63,0.0,0.09
13/10/2025 14:30,28.42,0.0,0.07
13/10/2025 15:00,28.45,0.0,0.04
13/10/2025 15:30,28.66,0.0,0.02
13/10/2025 16:00,28.39,0.0,0.0
13/10/2025 16:30,26.82,0.0,0.0
13/10/2025 17:00,25.92,0.0,0.0
13/10/2025 17:30,26.17,0.0,0.0
13/10/2025 18:00,25.88,0.0,0.0
13/10/2025 18:30,25.59,0.0,0.0
13/10/2025 19:00,25.3,0.0,0.0
13/10/2025 19:30,25.24,0.0,0.0
13/10/2025 20:00,24.54,0.0,0.0
13/10/2025 20:30,25.6,0.0,0.0
13/10/2025 21:00,25.2,0.0,0.0
13/10/2025 21:30,26.04,0.0,0.0
13/10/2025 22:00,25.25,0.0,0.0
13/10/2025 22:30,24.56,0.0,0.0
13/10/2025 23:00,23.7,0.0,0.0
13/10/2025 23:30,24.66,0.0,0.0
14/10/2025 00:00,24.06,0.0,0.0
14/10/2025 00:30,24.64,0.0,0.0
14/10/2025 01:00,23.95,0.0,0.0
14/10/2025 01:30,25.89,0.0,0.0
14/10/2025 02:00,25.1,0.0,0.0
14/10/2025 02:30,25.77,0.0,0.0
14/10/2025 03:00,26.05,0.0,0.0
14/10/2025 03:30,25.02,0.0,0.0
14/10/2025 04:00,24.86,0.0,0.0
14/10/2025 04:30,24.61,0.0,0.0
14/10/2025 05:00,23.76,0.0,0.0
14/10/2025 05:30,23.94,0.0,0.0
14/10/2025 06:00,24.32,0.0,0.0
14/10/2025 06:30,24.22,0.56,0.0
14/10/2025 07:00,24.34,0.0,0.0
14/10/2025 07:30,24.1,1.04,0.06
14/10/2025 08:00,23.97,0.0,0.24
14/10/2025 08:30,25.39,0.17,0.08
14/10/2025 09:00,26.76,0.96,0.2
14/10/2025 09:30,26.86,0.0,0.39
14/10/2025 10:00,28.25,0.0,0.31
14/10/2025 10:30,28.13,0.0,0.3
14/10/2025 11:00,28.31,0.78,0.13
14/10/2025 11:30,28.16,0.94,0.1
14/10/2025 12:00,29.46,1.74,0.13
14/10/2025 12:30,29.28,1.81,0.17
14/10/2025 13:00,28.94,0.0,0.1
14/10/2025 13:30,29.31,0.0,0.09
14/10/2025 14:00,28.67,0.0,0.09
14/10/2025 14:30,28.33,0.0,0.05
14/10/2025 15:00,28.9,0.0,0.03
14/10/2025 15:30,28.72,0.0,0.02
14/10/2025 16:00,28.46,0.0,0.0
14/10/2025 16:30,26.9,0.0,0.0
14/10/2025 17:00,26.1,0.0,0.0
14/10/2025 17:30,26.24,0.0,0.0
14/10/2025 18:00,24.96,0.0,0.0
14/10/2025 18:30,25.69,0.0,0.0
14/10/2025 19:00,25.59,0.0,0.0
14/10/2025 19:30,25.17,0.0,0.0
14/10/2025 20:00,25.6,0.0,0.0
14/10/2025 20:30,24.69,0.0,0.0
14/10/2025 21:00,24.91,0.0,0.0
14/10/2025 21:30,24.97,0.0,0.0
14/10/2025 22:00,25.64,0.0,0.0
14/10/2025 22:30,24.82,0.0,0.0
14/10/2025 23:00,23.1,0.0,0.0
14/10/2025 23:30,24.82,0.0,0.0
15/10/2025 00:00,24.12,0.0,0.0
15/10/2025 00:30,24.17,0.0,0.0
15/10/2025 01:00,24.46,0.0,0.0
15/10/2025 01:30,25.44,0.0,0.0
15/10/2025 02:00,25.0,0.0,0.0
15/10/2025 02:30,25.55,0.0,0.0
15/10/2025 03:00,26.18,0.0,0.0
15/10/2025 03:30,25.22,0.0,0.0
15/10/2025 04:00,24.82,0.0,0.0
15/10/2025 04:30,24.04,0.0,0.0
15/10/2025 05:00,24.36,0.0,0.0
15/10/2025 05:30,24.1,0.0,0.0
15/10/2025 06:00,24.32,0.0,0.0
15/10/2025 06:30,24.24,1.57,0.0
15/10/2025 07:00,23.57,0.68,0.0
15/10/2025 07:30,23.7,1.44,0.06
15/10/2025 08:00,23.93,0.6,0.04
15/10/2025 08:30,25.21,0.0,0.39
15/10/2025 09:00,26.33,2.06,0.24
15/10/2025 09:30,26.93,0.0,0.43
15/10/2025 10:00,27.91,0.0,0.36
15/10/2025 10:30,27.25,0.73,0.17
15/10/2025 11:00,27.4,0.0,0.32
15/10/2025 11:30,27.85,0.0,0.23
15/10/2025 12:00,29.75,0.0,0.44
15/10/2025 12:30,28.91,0.0,0.27
15/10/2025 13:00,29.53,0.0,0.09
15/10/2025 13:30,29.05,0.0,0.07
15/10/2025 14:00,29.28,0.0,0.09
15/10/2025 14:30,28.75,0.0,0.07
15/10/2025 15:00,29.24,0.0,0.03
15/10/2025 15:30,28.28,0.0,0.02
